date,nonfarm_emp,real_gdp,cpi
2000-01-01,131005,12935.252,169.3
2000-04-01,131888,13170.749,170.9
2000-07-01,132236,13183.89,172.7
2000-10-01,132351,13262.25,173.9
2001-01-01,132698,13219.251,175.6
2001-04-01,132463,13301.394,176.4
2001-07-01,132177,13248.142,177.4
2001-10-01,131454,13284.881,177.6
2002-01-01,130852,13394.91,177.7
2002-04-01,130623,13477.356,179.3
2002-07-01,130590,13531.741,180.0
2002-10-01,130628,13549.421,181.2
2003-01-01,130580,13619.434,182.600
2003-04-01,130177,13741.107,183.200
2003-07-01,130191,13970.157,183.700
2003-10-01,130454,14131.379,184.9
2004-01-01,130769,14212.34,186.300
2004-04-01,131411,14323.017,187.400
2004-07-01,131848,14457.832,189.100
2004-10-01,132447,14605.595,190.8
2005-01-01,132774,14767.846,191.600
2005-04-01,133518,14839.707,193.700
2005-07-01,134296,14956.291,194.900
2005-10-01,134655,15041.232,199.100
2006-01-01,135429,15244.088,199.300
2006-04-01,136205,15281.525,200.700
2006-07-01,136520,15304.517,202.900
2006-10-01,136852,15433.643,201.900
2007-01-01,137477,15478.956,203.437
2007-04-01,137842,15577.779,205.904
2007-07-01,138038,15671.605,207.603
2007-10-01,138174,15767.146,209.190
2008-01-01,138403,15702.906,212.174
2008-04-01,138035,15792.773,213.942
2008-07-01,137491,15709.562,219.016
2008-10-01,136272,15366.607,216.995
2009-01-01,134055,15187.475,211.933
2009-04-01,131817,15161.772,212.709
2009-07-01,130668,15216.647,214.726
2009-10-01,130045,15379.155,216.509
2010-01-01,129790,15456.059,217.488
2010-04-01,130110,15605.628,217.403
2010-07-01,130427,15726.282,217.605
2010-10-01,130625,15807.995,219.035
2011-01-01,130841,15769.911,221.187
2011-04-01,131602,15876.839,224.093
2011-07-01,131999,15870.684,225.395
2011-10-01,132562,16048.702,226.750
2012-01-01,133250,16179.968,227.842
2012-04-01,133834,16253.726,229.187
2012-07-01,134159,16282.151,228.590
2012-10-01,134677,16300.035,231.638
2013-01-01,135263,16441.485,231.679
2013-04-01,135871,16464.402,231.797
2013-07-01,136386,16594.743,232.900
2013-10-01,137040,16712.76,233.669
2014-01-01,137548,16654.247,235.288
2014-04-01,138293,16868.109,236.468
2014-07-01,139069,17064.616,237.498
2014-10-01,139818,17141.235,237.430
2015-01-01,140568,17280.647,234.747
2015-04-01,141194,17380.875,236.222
2015-07-01,142001,17437.08,238.034
2015-10-01,142587,17462.579,237.733
2016-01-01,143205,17565.465,237.652
2016-04-01,143851,17618.581,238.992
2016-07-01,144521,17724.489,240.101
2016-10-01,145071,17812.56,241.741
2017-01-01,145612,17896.623,243.620
2017-04-01,146154,17996.802,244.274
2017-07-01,146734,18126.226,244.280
2017-10-01,147215,18296.685,246.657
2018-01-01,147671,18436.262,248.721
2018-04-01,148397,18590.004,250.275
2018-07-01,149030,18679.599,251.345
2018-10-01,149576,18721.281,252.899
2019-01-01,150145,18833.195,252.441
2019-04-01,150482,18982.528,255.326
2019-07-01,150913,19112.653,255.925
2019-10-01,151524,19202.31,257.387
2020-01-01,152234,18951.992,258.687
2020-04-01,130161,17258.205,256.192
2020-07-01,139566,18560.774,258.604
2020-10-01,142545,18767.778,260.462
